Interval=	0.0025 s
ExcelDateTime=	4.6155602187774326e+004	5/13/2026 14:27:09.023702
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
153.1425	-17.45625
153.145	-11.09375
153.1475	-0.04375
153.15	9.25
153.1525	16.33125
153.155	20.85
153.1575	17.2125
153.16	6.78125
153.1625	-0.26875
153.165	5.23125
153.1675	19.55625
153.17	24.675
153.1725	8.625
153.175	-17.8875
153.1775	-35.99375
153.18	-39.8625
153.1825	-32.93125
153.185	-17.65625
153.1875	3.6125
153.19	24.2125
153.1925	31.2625
153.195	16.8375
153.1975	-6.4375
153.2	-19.1
153.2025	-19.08125
153.205	-11.8625
153.2075	3.375
153.21	22.21875
153.2125	32.45625
153.215	26.36875
153.2175	7.2875
153.22	-13.2625
153.2225	-24.75625
153.225	-21.525
153.2275	-4.80625
153.23	12.875
153.2325	17.1875
153.235	8.9
153.2375	-0.21875
153.24	-5.83125
153.2425	-10.41875
153.245	-12.3375
153.2475	-6.49375
153.25	5.99375
153.2525	16.8375
153.255	17.775
153.2575	9.0875
153.26	1.78125
153.2625	5.34375
153.265	16.38125
153.2675	22.775
153.27	16.04375
153.2725	1.9625
153.275	-2.95
153.2775	3.84375
153.28	5.725
153.2825	-7.1125
153.285	-24.34375
153.2875	-30.3125
153.29	-18.81875
153.2925	-1.26875
153.295	5.1125
153.2975	-1.66875
153.3	-12.5375
153.3025	-22.075
153.305	-25.7125
153.3075	-17.35
153.31	-2.89375
153.3125	4.8
153.315	4.6375
153.3175	4.1
153.32	3.33125
153.3225	-1.0875
153.325	-6.73125
153.3275	-10.25
153.33	-10.8
153.3325	-6.11875
153.335	3.65
153.3375	9.2375
153.34	1.75
153.3425	-12.2125
153.345	-19.1625
153.3475	-16.80625
153.35	-12.70625
153.3525	-12.2625
153.355	-10.0125
153.3575	3.6875
153.36	23.49375
153.3625	29.98125
153.365	15.34375
153.3675	-7.875
153.37	-24.91875
153.3725	-32.49375
153.375	-32.65625
153.3775	-26.7375
153.38	-16.9375
153.3825	-4.98125
153.385	5.94375
153.3875	6.55
153.39	-9.8125
153.3925	-34.55
153.395	-52.31875
153.3975	-54.225
153.4	-42.0125
153.4025	-24.29375
153.405	-9.93125
153.4075	-3.7625
153.41	-6.275
153.4125	-13.68125
153.415	-16.35
153.4175	-13.85
153.42	-19.5125
153.4225	-37.7875
153.425	-55.58125
153.4275	-61.44375
153.43	-55.68125
153.4325	-46.7375
153.435	-43.46875
153.4375	-43.26875
153.44	-37.8
153.4425	-26.81875
153.445	-18.78125
153.4475	-21.18125
153.45	-33.0875
153.4525	-44.09375
153.455	-44.80625
153.4575	-36.75
153.46	-28.33125
153.4625	-24.925
153.465	-26.5875
153.4675	-31.6
153.47	-36.2625
153.4725	-35.71875
153.475	-29.425
153.4775	-18.5
153.48	-5.075
153.4825	5.56875
153.485	8.46875
153.4875	1.75
153.49	-11
153.4925	-20.79375
153.495	-23.61875
153.4975	-26.1875
153.5	-29.85625
153.5025	-32.40625
153.505	-38.125
153.5075	-47.58125
153.51	-50.00625
153.5125	-35.7
153.515	-11.625
153.5175	4.28125
153.52	5.525
153.5225	-0.4
153.525	-11.16875
153.5275	-27.33125
153.53	-37.81875
153.5325	-31.1875
153.535	-14.36875
153.5375	-3.0875
153.54	-3.45
153.5425	-8.9
153.545	-16.375
153.5475	-28.775
153.55	-43.5
153.5525	-49.96875
153.555	-40.5125
153.5575	-21.8875
153.56	-10.675
153.5625	-12.6875
153.565	-17.15
153.5675	-15.83125
153.57	-11.96875
153.5725	-11.14375
153.575	-14.225
153.5775	-15.44375
153.58	-9.9375
153.5825	-2.075
153.585	-1.5125
153.5875	-13.15
153.59	-29.9375
153.5925	-39.39375
153.595	-39.09375
153.5975	-37.0625
153.6	-36.425
153.6025	-34.25625
153.605	-31.4
153.6075	-30.80625
153.61	-31.0875
153.6125	-29.75
153.615	-28.0125
153.6175	-28.25
153.62	-29.875
153.6225	-29.3
153.625	-24.2
153.6275	-15.675
153.63	-6.76875
153.6325	-0.8
153.635	0.36875
153.6375	-2.7375
153.64	-9.675
153.6425	-21.525
153.645	-36.90625
153.6475	-50.63125
153.65	-57.43125
153.6525	-57.51875
153.655	-54.5375
153.6575	-47.9125
153.66	-36.06875
153.6625	-24.73125
153.665	-19.43125
153.6675	-17.39375
153.67	-14.025
153.6725	-9.8875
153.675	-10.1
153.6775	-14.40625
153.68	-14.5
153.6825	-11.3375
153.685	-15.2125
153.6875	-26.45
153.69	-39.025
153.6925	-50.8625
153.695	-58.36875
153.6975	-58.81875
153.7	-55.4875
153.7025	-51.71875
153.705	-48.50625
153.7075	-43.06875
153.71	-30.9
153.7125	-15.94375
153.715	-8.7875
153.7175	-12.275
153.72	-19.475
153.7225	-24.625
153.725	-26.575
153.7275	-27.01875
153.73	-27.0625
153.7325	-24.36875
153.735	-18.5125
153.7375	-15.475
153.74	-19.44375
153.7425	-23.21875
153.745	-21.20625
153.7475	-20.8875
153.75	-27.85
153.7525	-36.93125
153.755	-43.075
153.7575	-43.6625
153.76	-35.25625
153.7625	-21.125
153.765	-11.60625
153.7675	-12.81875
153.77	-19.125
153.7725	-18.275
153.775	-9.75625
153.7775	-3.73125
153.78	-4.35
153.7825	-9.51875
153.785	-15.4875
153.7875	-15.93125
153.79	-9.8125
153.7925	-5.05
153.795	-4.1
153.7975	-1.725
153.8	2.675
153.8025	3.9625
153.805	0.03125
153.8075	-7.96875
153.81	-17.525
153.8125	-24.79375
153.815	-28.6375
153.8175	-29.98125
153.82	-26.475
153.8225	-17.0875
153.825	-6.94375
153.8275	0.025
153.83	3.5125
153.8325	1.6375
153.835	-5.4
153.8375	-9.66875
153.84	-8.2
153.8425	-9.175
153.845	-13.16875
153.8475	-11.625
153.85	-6.8375
153.8525	-9.075
153.855	-15.50625
153.8575	-16.175
153.86	-12.0875
153.8625	-7.2875
153.865	-3.30625
153.8675	-5.4125
153.87	-15.55
153.8725	-24.19375
153.875	-23.1625
153.8775	-16.75625
153.88	-14.8
153.8825	-22.9625
153.885	-36.71875
153.8875	-46.7375
153.89	-46.9625
153.8925	-37.38125
153.895	-21.375
153.8975	-6.275
153.9	-1.5125
153.9025	-5.375
153.905	-8.61875
153.9075	-12.13125
153.91	-21.275
153.9125	-31.8375
153.915	-37.6375
153.9175	-36.38125
153.92	-29.0375
153.9225	-21.5
153.925	-20.1
153.9275	-24.2875
153.93	-29.33125
153.9325	-30.28125
153.935	-26.2125
153.9375	-21.69375
153.94	-18.49375
153.9425	-16.25
153.945	-17.06875
153.9475	-20.55625
153.95	-22.6875
153.9525	-19.39375
153.955	-9.5875
153.9575	-2.875
153.96	-8.06875
153.9625	-19.06875
153.965	-26.35
153.9675	-29.69375
153.97	-33.18125
153.9725	-37.35
153.975	-37.18125
153.9775	-29.63125
153.98	-20.55625
153.9825	-14.475
153.985	-10.99375
153.9875	-9.675
153.99	-10.93125
153.9925	-16.31875
153.995	-27.00625
153.9975	-38.08125
154	-39.0875
154.0025	-27.41875
154.005	-14.38125
154.0075	-11.91875
154.01	-21.1
154.0125	-36.775
154.015	-54.23125
154.0175	-67.55
154.02	-71.975
154.0225	-67.875
154.025	-58.35
